Number of threads,1,Length of array,500000
Test #,cutoff,10 Times Time,
0.1,5000,30.4,
0.2,10000,17.4,
0.3,15000,17.8,
0.4,20000,14.6,
0.5,25000,12.2,
0.6,30000,11.3,
0.7,35000,10.9,
0.8,40000,10.5,
0.9,45000,10.7,
1,50000,10.5,
Number of threads,2,Length of array,500000
Test #,cutoff,10 Times Time,
0.1,5000,11.5,
0.2,10000,12,
0.3,15000,10.7,
0.4,20000,10.5,
0.5,25000,10.3,
0.6,30000,10.3,
0.7,35000,10.7,
0.8,40000,10.3,
0.9,45000,10.6,
1,50000,10.5,
Number of threads,4,Length of array,500000
Test #,cutoff,10 Times Time,
0.1,5000,11.3,
0.2,10000,10.8,
0.3,15000,10.8,
0.4,20000,10.5,
0.5,25000,10.6,
0.6,30000,10.2,
0.7,35000,10.4,
0.8,40000,10.4,
0.9,45000,10.5,
1,50000,10.4,
Number of threads,8,Length of array,500000
Test #,cutoff,10 Times Time,
0.1,5000,11.2,
0.2,10000,10.8,
0.3,15000,10.7,
0.4,20000,10.9,
0.5,25000,10.4,
0.6,30000,10.3,
0.7,35000,10.5,
0.8,40000,10.7,
0.9,45000,10.6,
1,50000,10.5,
Number of threads,16,Length of array,500000
Test #,cutoff,10 Times Time,
0.1,5000,11.3,
0.2,10000,10.6,
0.3,15000,10.8,
0.4,20000,10.5,
0.5,25000,10.4,
0.6,30000,10.2,
0.7,35000,10.7,
0.8,40000,10.6,
0.9,45000,10.7,
1,50000,10.4,
Number of threads,32,Length of array,500000
Test #,cutoff,10 Times Time,
0.1,5000,11.3,
0.2,10000,10.7,
0.3,15000,11,
0.4,20000,10.5,
0.5,25000,10.6,
0.6,30000,10.2,
0.7,35000,10.4,
0.8,40000,10.3,
0.9,45000,10.6,
1,50000,10.4,
Number of threads,64,Length of array,500000
Test #,cutoff,10 Times Time,
0.1,5000,11.2,
0.2,10000,10.6,
0.3,15000,10.7,
0.4,20000,10.4,
0.5,25000,10.4,
0.6,30000,10.5,
0.7,35000,10.2,
0.8,40000,10.3,
0.9,45000,10.6,
1,50000,10.6,
Number of threads,1,Length of array,1000000
Test #,cutoff,10 Times Time,
0.1,5000,25.7,
0.2,10000,22.9,
0.3,15000,23.1,
0.4,20000,22,
0.5,25000,22.1,
0.6,30000,22.5,
0.7,35000,20.9,
0.8,40000,21,
0.9,45000,21.1,
1,50000,20.9,
Number of threads,2,Length of array,1000000
Test #,cutoff,10 Times Time,
0.1,5000,24.6,
0.2,10000,23,
0.3,15000,23.1,
0.4,20000,21.9,
0.5,25000,22.1,
0.6,30000,21.9,
0.7,35000,21.3,
0.8,40000,21,
0.9,45000,21.2,
1,50000,21.1,
Number of threads,4,Length of array,1000000
Test #,cutoff,10 Times Time,
0.1,5000,25,
0.2,10000,23.2,
0.3,15000,23.2,
0.4,20000,22.2,
0.5,25000,22.2,
0.6,30000,22.2,
0.7,35000,21.1,
0.8,40000,21.2,
0.9,45000,21,
1,50000,21.4,
Number of threads,8,Length of array,1000000
Test #,cutoff,10 Times Time,
0.1,5000,24.7,
0.2,10000,23.2,
0.3,15000,23.2,
0.4,20000,21.8,
0.5,25000,22.1,
0.6,30000,22.1,
0.7,35000,21.1,
0.8,40000,21.2,
0.9,45000,20.9,
1,50000,21.1,
Number of threads,16,Length of array,1000000
Test #,cutoff,10 Times Time,
0.1,5000,24.9,
0.2,10000,23.2,
0.3,15000,23.4,
0.4,20000,21.8,
0.5,25000,22.2,
0.6,30000,22,
0.7,35000,21.1,
0.8,40000,21.1,
0.9,45000,21.1,
1,50000,21.2,
Number of threads,32,Length of array,1000000
Test #,cutoff,10 Times Time,
0.1,5000,24.8,
0.2,10000,23.4,
0.3,15000,23.2,
0.4,20000,22.1,
0.5,25000,22.3,
0.6,30000,21.9,
0.7,35000,21.1,
0.8,40000,21.1,
0.9,45000,21,
1,50000,21.3,
Number of threads,64,Length of array,1000000
Test #,cutoff,10 Times Time,
0.1,5000,24.6,
0.2,10000,23.1,
0.3,15000,23,
0.4,20000,21.9,
0.5,25000,22.1,
0.6,30000,22.1,
0.7,35000,21.2,
0.8,40000,20.8,
0.9,45000,21.1,
1,50000,21.1,
Number of threads,1,Length of array,2000000
Test #,cutoff,10 Times Time,
0.1,5000,57.7,
0.2,10000,52.2,
0.3,15000,51.6,
0.4,20000,47.6,
0.5,25000,48.3,
0.6,30000,48.4,
0.7,35000,45.7,
0.8,40000,45.6,
0.9,45000,45.4,
1,50000,45,
Number of threads,2,Length of array,2000000
Test #,cutoff,10 Times Time,
0.1,5000,56.4,
0.2,10000,50.8,
0.3,15000,52.5,
0.4,20000,48.6,
0.5,25000,48.3,
0.6,30000,48.1,
0.7,35000,45.7,
0.8,40000,46.4,
0.9,45000,47,
1,50000,50.4,
Number of threads,4,Length of array,2000000
Test #,cutoff,10 Times Time,
0.1,5000,56.5,
0.2,10000,53.4,
0.3,15000,52.2,
0.4,20000,50,
0.5,25000,50.3,
0.6,30000,51.2,
0.7,35000,46.9,
0.8,40000,47.5,
0.9,45000,47.9,
1,50000,47,
Number of threads,8,Length of array,2000000
Test #,cutoff,10 Times Time,
0.1,5000,55.7,
0.2,10000,51,
0.3,15000,51.3,
0.4,20000,49.8,
0.5,25000,47.6,
0.6,30000,49.3,
0.7,35000,46.7,
0.8,40000,46.3,
0.9,45000,45.8,
1,50000,45.4,
Number of threads,16,Length of array,2000000
Test #,cutoff,10 Times Time,
0.1,5000,54.4,
0.2,10000,51.9,
0.3,15000,52.4,
0.4,20000,48,
0.5,25000,48.4,
0.6,30000,48.1,
0.7,35000,46.1,
0.8,40000,47.1,
0.9,45000,46.2,
1,50000,45.5,
Number of threads,32,Length of array,2000000
Test #,cutoff,10 Times Time,
0.1,5000,54.6,
0.2,10000,50.9,
0.3,15000,51.6,
0.4,20000,49,
0.5,25000,48.6,
0.6,30000,47.4,
0.7,35000,47.4,
0.8,40000,46.5,
0.9,45000,46,
1,50000,47.7,
Number of threads,64,Length of array,2000000
Test #,cutoff,10 Times Time,
0.1,5000,55.8,
0.2,10000,53,
0.3,15000,50.7,
0.4,20000,49,
0.5,25000,49.8,
0.6,30000,48.3,
0.7,35000,45.7,
0.8,40000,45.8,
0.9,45000,45.7,
1,50000,45.9,
Number of threads,1,Length of array,4000000
Test #,cutoff,10 Times Time,
0.1,5000,136,
0.2,10000,137.2,
0.3,15000,135.9,
0.4,20000,126.5,
0.5,25000,124,
0.6,30000,125.1,
0.7,35000,122.2,
0.8,40000,118.8,
0.9,45000,125,
1,50000,122.5,
Number of threads,2,Length of array,4000000
Test #,cutoff,10 Times Time,
0.1,5000,132.6,
0.2,10000,133,
0.3,15000,135.5,
0.4,20000,126.5,
0.5,25000,127.6,
0.6,30000,125,
0.7,35000,122.6,
0.8,40000,123.5,
0.9,45000,126.2,
1,50000,128,
Number of threads,4,Length of array,4000000
Test #,cutoff,10 Times Time,
0.1,5000,137.5,
0.2,10000,131.1,
0.3,15000,135.2,
0.4,20000,129.5,
0.5,25000,128.8,
0.6,30000,126.7,
0.7,35000,125.7,
0.8,40000,120.1,
0.9,45000,120.9,
1,50000,116.4,
Number of threads,8,Length of array,4000000
Test #,cutoff,10 Times Time,
0.1,5000,132.7,
0.2,10000,131.1,
0.3,15000,129.1,
0.4,20000,122.9,
0.5,25000,127.6,
0.6,30000,127.5,
0.7,35000,121.3,
0.8,40000,124.7,
0.9,45000,123.4,
1,50000,126.5,
Number of threads,16,Length of array,4000000
Test #,cutoff,10 Times Time,
0.1,5000,135,
0.2,10000,131.7,
0.3,15000,132.3,
0.4,20000,123.6,
0.5,25000,126.4,
0.6,30000,121.3,
0.7,35000,120.6,
0.8,40000,128.9,
0.9,45000,122,
1,50000,122.1,
Number of threads,32,Length of array,4000000
Test #,cutoff,10 Times Time,
0.1,5000,131.6,
0.2,10000,133.4,
0.3,15000,123.5,
0.4,20000,124.6,
0.5,25000,125.4,
0.6,30000,123.3,
0.7,35000,123.7,
0.8,40000,123.9,
0.9,45000,125.1,
1,50000,125.8,
Number of threads,64,Length of array,4000000
Test #,cutoff,10 Times Time,
0.1,5000,140.1,
0.2,10000,128.9,
0.3,15000,132.2,
0.4,20000,131.4,
0.5,25000,129.4,
0.6,30000,120.4,
0.7,35000,120.6,
0.8,40000,121.7,
0.9,45000,123.2,
1,50000,123,
Number of threads,1,Length of array,8000000
Test #,cutoff,10 Times Time,
0.1,5000,341.5,
0.2,10000,321.1,
0.3,15000,306.8,
0.4,20000,267,
0.5,25000,260.3,
0.6,30000,274.7,
0.7,35000,258.8,
0.8,40000,245.6,
0.9,45000,254.5,
1,50000,243.4,
Number of threads,2,Length of array,8000000
Test #,cutoff,10 Times Time,
0.1,5000,322.5,
0.2,10000,309.1,
0.3,15000,304.7,
0.4,20000,263.3,
0.5,25000,273.2,
0.6,30000,259.5,
0.7,35000,246.8,
0.8,40000,245.7,
0.9,45000,235.8,
1,50000,246,
Number of threads,4,Length of array,8000000
Test #,cutoff,10 Times Time,
0.1,5000,320.4,
0.2,10000,310.5,
0.3,15000,295.2,
0.4,20000,277.1,
0.5,25000,284.1,
0.6,30000,270.8,
0.7,35000,260.7,
0.8,40000,266.6,
0.9,45000,232.6,
1,50000,248.2,
Number of threads,8,Length of array,8000000
Test #,cutoff,10 Times Time,
0.1,5000,318.1,
0.2,10000,281.4,
0.3,15000,298.1,
0.4,20000,271.2,
0.5,25000,290.5,
0.6,30000,264.2,
0.7,35000,241.1,
0.8,40000,239.5,
0.9,45000,254.9,
1,50000,237.3,
Number of threads,16,Length of array,8000000
Test #,cutoff,10 Times Time,
0.1,5000,334.1,
0.2,10000,282.4,
0.3,15000,300.1,
0.4,20000,279.6,
0.5,25000,265.4,
0.6,30000,278.6,
0.7,35000,251,
0.8,40000,242.9,
0.9,45000,250.4,
1,50000,252,
Number of threads,32,Length of array,8000000
Test #,cutoff,10 Times Time,
0.1,5000,327.7,
0.2,10000,291.1,
0.3,15000,304,
0.4,20000,267.5,
0.5,25000,270.6,
0.6,30000,280.5,
0.7,35000,238.7,
0.8,40000,242.6,
0.9,45000,242,
1,50000,242.6,
Number of threads,64,Length of array,8000000
Test #,cutoff,10 Times Time,
0.1,5000,351,
0.2,10000,289.6,
0.3,15000,291.7,
0.4,20000,276.1,
0.5,25000,265.4,
0.6,30000,266.3,
0.7,35000,241.5,
0.8,40000,224.5,
0.9,45000,247.1,
1,50000,246.6,
